symbol,local_volume_change_percent
TURBOUSDT,-6.38
1000SHIBUSDC,-5.97
MDTUSDT,0.0
THETAUSDT,-2.97
OMGUSDT,-6.36
BCHUSDC,-2.97
HIFIUSDT,-4.89
GUSDT,-4.83
CFXUSDT,-3.93
RUNEUSDT,-5.06
SUNUSDT,9.82
RVNUSDT,-4.71
FLMUSDT,-4.79
LITUSDT,-3.54
BNXUSDT,0.11
FETUSDT,-4.9
AGLDUSDT,-3.83
WIFUSDT,-2.14
STEEMUSDT,-4.03
AVAXUSDT,-4.35
HIGHUSDT,-5.57
NEARUSDT,-2.24
BNTUSDT,-2.39
LQTYUSDT,1.29
METISUSDT,0.77
INJUSDT,-5.61
TNSRUSDT,-6.05
STGUSDT,-4.7
CYBERUSDT,-9.62
PIXELUSDT,-5.44
ATAUSDT,-4.68
LSKUSDT,-2.4
VIDTUSDT,20.99
DASHUSDT,-3.06
POWRUSDT,-4.71
ACHUSDT,-5.46
SYNUSDT,-4.38
BALUSDT,-2.64
SFPUSDT,-3.23
GLMRUSDT,0.0
ALPHAUSDT,-4.48
TLMUSDT,-8.68
OMUSDT,-7.21
KEYUSDT,-3.46
DODOXUSDT,-2.87
ENJUSDT,-3.73
ORBSUSDT,5.3
ANKRUSDT,-4.66
FTMUSDT,-4.66
SAGAUSDT,-2.01
BOMEUSDC,-6.68
STORJUSDT,-4.21
FILUSDT,-3.92
SOLUSDT,-1.28
NOTUSDT,-20.29
COTIUSDT,-4.9
JUPUSDT,-3.88
LISTAUSDT,-7.22
HBARUSDT,-3.69
ILVUSDT,-5.38
MKRUSDT,-1.73
IDEXUSDT,0.0
AXSUSDT,-2.63
MEWUSDT,-6.69
CAKEUSDT,-5.2
ZECUSDT,-5.36
JOEUSDT,-3.72
BTCUSDC,-0.45
COMPUSDT,-4.1
HOOKUSDT,-6.15
IOTAUSDT,-3.52
JASMYUSDT,-5.45
GLMUSDT,-4.46
PENDLEUSDT,-1.11
UNFIUSDT,-3.99
TRXUSDT,0.82
MANTAUSDT,-5.01
1000SHIBUSDT,-5.99
KASUSDT,-2.49
CTKUSDT,0.0
GRTUSDT,-4.05
ALTUSDT,-6.78
OPUSDT,-3.65
OXTUSDT,-2.13
BELUSDT,1.79
SUIUSDT,-3.58
USDCUSDT,-0.0
ETHBTC,0.23
VETUSDT,-2.7
EGLDUSDT,-5.29
TIAUSDT,-7.18
SNXUSDT,-6.98
ETHUSDC,-0.19
NFPUSDT,-4.27
COMBOUSDT,-7.03
DEFIUSDT,-3.55
MATICUSDC,-1.73
DOGEUSDT,-3.37
SEIUSDT,1.69
STMXUSDT,-3.79
NEOUSDC,-4.79
CRVUSDC,-7.24
SLPUSDT,0.0
VANRYUSDT,-1.24
1000PEPEUSDT,-2.51
RIFUSDT,-3.24
GMTUSDT,-2.39
MINAUSDT,-3.89
ETHUSDT,-0.18
BTCDOMUSDT,0.68
GMXUSDT,-10.86
MTLUSDT,-2.84
CKBUSDT,-7.89
APTUSDT,-4.13
ROSEUSDT,-4.72
ZKUSDT,-6.37
CHRUSDT,-0.61
UNIUSDT,-4.28
WAXPUSDT,-3.6
LRCUSDT,-3.39
1000BONKUSDC,-4.14
DUSKUSDT,-3.2
FRONTUSDT,0.0
BONDUSDT,-0.3
BTCUSDT_241227,-0.5
STPTUSDT,0.0
LEVERUSDT,-2.18
ZRXUSDT,-2.49
FILUSDC,-3.97
MATICUSDT,-1.73
C98USDT,-5.39
BSVUSDT,-3.59
SUSHIUSDT,-3.66
TRUUSDT,-6.33
ZENUSDT,-4.71
QNTUSDT,-4.21
ARBUSDC,-3.4
EOSUSDT,-3.95
HOTUSDT,-5.85
BANDUSDT,-4.48
ETHUSDT_240927,-0.29
IMXUSDT,-1.96
AGIXUSDT,0.0
DYMUSDT,-4.45
XRPUSDT,-3.72
RLCUSDT,-4.82
ARKUSDT,-4.54
1000PEPEUSDC,-2.55
ICPUSDT,-3.13
LPTUSDT,-4.16
RENUSDT,-3.71
AVAXUSDC,-4.39
ALPACAUSDT,19.25
MAVIAUSDT,-7.39
RADUSDT,0.0
ZETAUSDT,-5.98
BLZUSDT,-3.22
XLMUSDT,-2.25
CRVUSDT,-7.2
ASTRUSDT,-5.54
XTZUSDT,-2.27
LUNA2USDT,8.92
GTCUSDT,-4.46
ETHFIUSDC,-4.73
ATOMUSDT,-3.4
BTCUSDT_240927,-0.55
ARPAUSDT,-3.86
SKLUSDT,-4.21
KLAYUSDT,-1.68
USTCUSDT,3.53
1INCHUSDT,-4.03
WIFUSDC,-2.11
WUSDT,-6.82
SUIUSDC,-3.61
MASKUSDT,-4.76
XMRUSDT,-2.81
1000FLOKIUSDT,-4.03
BEAMXUSDT,-4.51
GASUSDT,-4.69
SANDUSDT,-4.26
RDNTUSDT,-4.48
MAGICUSDT,-5.69
1000RATSUSDT,-2.11
1000LUNCUSDT,0.73
1000XECUSDT,-3.85
ARUSDT,-5.82
NKNUSDT,-2.41
RAREUSDT,0.29
DOTUSDT,-3.55
DGBUSDT,0.0
IOSTUSDT,-3.43
TOKENUSDT,-6.31
CVXUSDT,0.0
BAKEUSDT,-8.76
SYSUSDT,-4.07
YGGUSDT,-3.88
OCEANUSDT,0.0
POPCATUSDT,-1.6
ENSUSDT,-2.9
NEARUSDC,-2.22
WLDUSDT,-5.07
TWTUSDT,-2.1
ONDOUSDT,-5.46
TONUSDT,-18.21
BATUSDT,-4.01
XAIUSDT,-6.5
ALGOUSDT,-3.54
PEOPLEUSDT,2.7
FXSUSDT,-5.31
REEFUSDT,-9.23
GALAUSDT,-3.95
DOGEUSDC,-3.34
TAOUSDT,-3.58
SXPUSDT,-1.9
ORDIUSDC,-3.31
XEMUSDT,-3.79
NEOUSDT,-4.73
SUPERUSDT,-0.56
ETHWUSDT,-2.57
ONEUSDT,-1.61
REZUSDT,-5.41
EDUUSDT,-4.67
ETCUSDT,-2.85
SNTUSDT,0.0
SOLUSDC,-1.27
POLYXUSDT,-4.57
PYTHUSDT,-3.81
ETHUSDT_241227,-0.25
BCHUSDT,-2.95
JTOUSDT,-1.9
XVGUSDT,-4.83
ARKMUSDT,-6.03
AXLUSDT,-4.88
1000BONKUSDT,-4.14
ACEUSDT,-4.82
FLOWUSDT,-2.61
XRPUSDC,-3.69
BRETTUSDT,-5.83
KNCUSDT,-3.54
TRBUSDT,-3.59
TUSDT,-6.12
NTRNUSDT,-3.28
BICOUSDT,-7.92
SSVUSDT,-0.67
IOTXUSDT,-4.42
AEVOUSDT,-5.55
PERPUSDT,-3.64
WLDUSDC,-5.09
ZILUSDT,-3.18
TIAUSDC,-7.18
MANAUSDT,-3.13
NMRUSDT,-3.39
LINAUSDT,-4.03
OGNUSDT,-3.63
LTCUSDT,-2.87
QTUMUSDT,-3.05
STRKUSDT,-3.24
CHZUSDT,-5.35
ONTUSDT,-3.27
VOXELUSDT,-4.82
PHBUSDT,-2.99
ZROUSDT,3.91
IOUSDT,-3.32
CELRUSDT,-3.67
LDOUSDT,-6.9
STXUSDT,-2.31
AIUSDT,1.02
ENAUSDC,-4.93
ARBUSDT,-3.4
DENTUSDT,-3.33
DARUSDT,-6.51
APEUSDT,-3.95
BADGERUSDT,-2.74
ORDIUSDT,-3.26
LINKUSDC,-0.83
1000SATSUSDT,-0.28
LOOMUSDT,-3.74
STRAXUSDT,0.0
RENDERUSDT,-0.58
MEMEUSDT,-6.24
ONGUSDT,-3.35
HFTUSDT,-5.06
BANANAUSDT,-11.63
ETHFIUSDT,-4.68
BBUSDT,-6.81
KSMUSDT,-1.69
PORTALUSDT,-4.25
MOVRUSDT,-7.69
BOMEUSDT,-6.7
LTCUSDC,-2.89
BNBUSDT,-1.36
ALICEUSDT,-6.14
CTSIUSDT,-4.14
SPELLUSDT,-2.06
ENAUSDT,-4.9
WAVESUSDT,0.0
AMBUSDT,-6.67
MYROUSDT,-7.47
IDUSDT,-3.79
KAVAUSDT,-4.45
AUCTIONUSDT,-5.13
LINKUSDT,-0.77
AAVEUSDT,-2.26
API3USDT,-5.18
MAVUSDT,-2.97
RSRUSDT,-4.88
WOOUSDT,-4.58
BTCUSDT,-0.44
BNBUSDC,-1.37
BIGTIMEUSDT,-6.2
OMNIUSDT,-6.47
CELOUSDT,-3.03
XVSUSDT,-4.96
YFIUSDT,-1.76
DYDXUSDT,-5.97
ADAUSDT,-3.43
UMAUSDT,-3.83
RONINUSDT,-2.46
BLURUSDT,-5.49
ICXUSDT,-3.58
