symbol,local_volume_change_percent
ENSUSDT,-4.9
ASTRUSDT,17.72
SUNUSDT,-8.83
ACEUSDT,-1.04
ALPACAUSDT,113.25
BOMEUSDC,-3.33
JOEUSDT,0.17
VIDTUSDT,55.07
MYROUSDT,18.44
ANKRUSDT,46.4
KEYUSDT,-3.84
MOVRUSDT,-45.46
AEVOUSDT,-3.78
TURBOUSDT,-18.56
HOTUSDT,0.4
COTIUSDT,-28.76
DASHUSDT,6.44
BSVUSDT,-0.52
BLURUSDT,-13.73
LINKUSDT,5.72
1000LUNCUSDT,114.2
MATICUSDT,54.51
BANDUSDT,12.13
EGLDUSDT,-27.3
PERPUSDT,-15.68
MAGICUSDT,-4.6
AAVEUSDT,-38.59
NOTUSDT,179.85
FRONTUSDT,0.0
AUCTIONUSDT,-16.31
OCEANUSDT,0.0
NMRUSDT,-64.99
KAVAUSDT,14.49
1000PEPEUSDT,11.86
ENAUSDT,-32.84
FLOWUSDT,48.94
1000XECUSDT,-4.68
YFIUSDT,46.62
ORDIUSDC,-26.64
SUSHIUSDT,-16.98
BTCUSDC,-61.23
1000SHIBUSDC,15.63
PYTHUSDT,25.06
DUSKUSDT,48.17
XTZUSDT,61.6
AGIXUSDT,0.0
UNIUSDT,-3.34
KSMUSDT,13.59
TNSRUSDT,-13.18
LPTUSDT,-52.7
OXTUSDT,-0.19
USTCUSDT,188.3
FILUSDC,9.25
BRETTUSDT,-18.3
NFPUSDT,5.67
AVAXUSDT,-5.23
ALTUSDT,-11.5
HIFIUSDT,-43.7
CELOUSDT,-15.85
AXSUSDT,16.47
XRPUSDT,16.18
DODOXUSDT,-35.85
QTUMUSDT,-19.81
SEIUSDT,-5.51
MATICUSDC,59.87
ARKUSDT,26.74
MANAUSDT,14.81
ETCUSDT,18.17
ZKUSDT,-5.47
CRVUSDC,-38.08
NEOUSDC,-12.3
BOMEUSDT,13.17
CTKUSDT,0.0
SAGAUSDT,-27.63
DYDXUSDT,-10.83
GTCUSDT,6.82
STEEMUSDT,4.81
RONINUSDT,2.47
THETAUSDT,-18.33
1000SATSUSDT,-27.15
IMXUSDT,-28.21
GALAUSDT,-9.32
API3USDT,-14.4
XRPUSDC,19.4
QNTUSDT,-4.72
BTCUSDT_241227,-59.73
BLZUSDT,-9.77
BICOUSDT,60.82
POPCATUSDT,-39.42
JASMYUSDT,25.23
RVNUSDT,-7.42
MAVUSDT,14.18
GUSDT,-40.71
BTCUSDT,-55.7
DENTUSDT,-9.78
STRKUSDT,-6.62
BNBUSDC,9.46
RAREUSDT,-23.28
KNCUSDT,24.36
DARUSDT,15.44
DOTUSDT,36.64
STRAXUSDT,0.0
OPUSDT,18.27
REZUSDT,36.93
BONDUSDT,74.79
UMAUSDT,18.69
APTUSDT,-2.38
ETHWUSDT,13.63
ALICEUSDT,-9.36
NKNUSDT,-27.31
1INCHUSDT,-1.29
UNFIUSDT,1.82
WIFUSDT,-4.76
WOOUSDT,-13.54
LINAUSDT,25.44
KLAYUSDT,-26.1
IDUSDT,19.5
ONDOUSDT,-4.1
TRUUSDT,-22.26
GASUSDT,-46.52
AGLDUSDT,38.7
POLYXUSDT,-30.73
CHZUSDT,30.36
ARBUSDT,0.73
OMUSDT,-21.67
STXUSDT,-16.85
BAKEUSDT,42.35
ORBSUSDT,532.92
XVSUSDT,23.65
HOOKUSDT,6.91
BCHUSDT,-5.68
GMXUSDT,-27.26
GLMUSDT,-42.08
MKRUSDT,-1.53
BADGERUSDT,-53.17
BELUSDT,9.49
STPTUSDT,0.0
C98USDT,1.23
FXSUSDT,-0.44
MEMEUSDT,-51.02
ORDIUSDT,-14.56
USDCUSDT,266.05
ZROUSDT,78.63
CFXUSDT,-6.48
WAXPUSDT,0.38
ETHFIUSDC,-25.49
1000RATSUSDT,-17.55
ENJUSDT,1.07
PORTALUSDT,33.09
LINKUSDC,-0.49
MTLUSDT,-6.31
REEFUSDT,15.17
GLMRUSDT,0.0
SUIUSDT,-48.36
AXLUSDT,-17.47
SXPUSDT,17.58
LTCUSDT,2.94
DEFIUSDT,-13.72
IOUSDT,-48.19
TIAUSDC,-27.65
VETUSDT,21.57
TOKENUSDT,-1.53
WIFUSDC,-10.51
CAKEUSDT,-21.66
BALUSDT,2.02
GMTUSDT,9.87
MANTAUSDT,-7.16
BTCUSDT_240927,-50.9
OGNUSDT,8.26
VANRYUSDT,100.45
DOGEUSDC,-2.75
JUPUSDT,14.15
SANDUSDT,8.97
HIGHUSDT,-11.77
ARKMUSDT,-22.89
PHBUSDT,34.74
MEWUSDT,-21.04
SUPERUSDT,254.96
BEAMXUSDT,0.18
SYNUSDT,-11.15
LSKUSDT,-5.62
LISTAUSDT,-11.11
1000BONKUSDT,28.28
ATAUSDT,24.14
1000SHIBUSDT,42.78
OMNIUSDT,-12.23
RLCUSDT,-5.11
COMBOUSDT,13.9
ADAUSDT,3.93
ZETAUSDT,-25.78
ETHUSDC,-20.49
APEUSDT,53.04
HFTUSDT,9.13
AMBUSDT,5.16
XMRUSDT,-2.33
ONGUSDT,-11.43
SYSUSDT,30.02
LITUSDT,-51.0
RDNTUSDT,13.63
IOSTUSDT,65.48
TONUSDT,1320.73
LUNA2USDT,491.06
ROSEUSDT,7.93
TAOUSDT,-22.64
ACHUSDT,4.47
ONEUSDT,-5.21
DGBUSDT,0.0
NEARUSDT,25.07
PEOPLEUSDT,30.15
NEARUSDC,86.9
AVAXUSDC,9.61
YGGUSDT,-48.63
SPELLUSDT,208.05
BNTUSDT,62.21
BBUSDT,-5.86
CRVUSDT,-24.06
BATUSDT,-1.36
GRTUSDT,30.39
1000PEPEUSDC,3.63
CELRUSDT,-12.49
RADUSDT,0.0
ZILUSDT,18.89
MDTUSDT,0.0
ILVUSDT,14.44
ZECUSDT,-1.99
TLMUSDT,-23.12
SFPUSDT,1.62
BCHUSDC,-9.18
STGUSDT,75.71
ZRXUSDT,46.32
NEOUSDT,53.05
IOTAUSDT,60.38
LTCUSDC,-4.73
TRXUSDT,-18.19
ARUSDT,19.13
SNTUSDT,0.0
XVGUSDT,27.41
TRBUSDT,-42.31
JTOUSDT,14.4
XLMUSDT,38.42
SUIUSDC,-46.68
MASKUSDT,-5.95
STMXUSDT,-11.23
ENAUSDC,-36.6
LQTYUSDT,-0.82
LOOMUSDT,8.66
CHRUSDT,-38.45
ALPHAUSDT,6.06
RSRUSDT,-44.0
ETHUSDT_240927,-4.64
MINAUSDT,5.13
POWRUSDT,-12.88
BNXUSDT,-9.07
